Date; Close; Momentum Analysis; NN Analysis
12/17/21; -; -; Prediction
12/16/21; -; -; Prediction
12/15/21; -; -; Prediction
12/14/21; -; -; Prediction
12/13/21; -; -; Prediction
12/12/21; -; -; Prediction
12/11/21; -; -; Prediction
12/10/21; 3444,24; Buy/Hold/Sell; Input Data 
12/09/21; 3483,42; Buy/Hold/Sell; Input Data 
12/08/21; 3523,16; Buy/Hold/Sell; Input Data 
12/07/21; 3523,29; Buy/Hold/Sell; Input Data 
12/06/21; 3427,37; Buy/Hold/Sell; Learning Data 
12/03/21; 3389,79; Buy/Hold/Sell; Learning Data 
12/02/21; 3437,36; Buy/Hold/Sell; Learning Data 
12/01/21; 3443,72; Buy/Hold/Sell; Learning Data 
11/30/21; 3507,07; Buy/Hold/Sell; Learning Data 
11/29/21; 3561,57; Buy/Hold/Sell; Learning Data 
11/26/21; 3504,56; Buy/Hold/Sell; Learning Data 
11/24/21; 3580,41; Buy/Hold/Sell; Learning Data 
11/23/21; 3580,04; Buy/Hold/Sell; Learning Data 
11/22/21; 3572,57; Buy/Hold/Sell; Learning Data 
11/19/21; 3676,57; Buy/Hold/Sell; Learning Data 
11/18/21; 3696,06; Buy/Hold/Sell; Learning Data 
11/17/21; 3549,00; Buy/Hold/Sell; Learning Data 
11/16/21; 3540,70; Buy/Hold/Sell; Learning Data 
11/15/21; 3545,68; Buy/Hold/Sell; Learning Data 
11/12/21; 3525,15; Buy/Hold/Sell; Learning Data 
11/11/21; 3472,50; Buy/Hold/Sell; Learning Data 
11/10/21; 3482,05; Buy/Hold/Sell; Learning Data 
11/09/21; 3576,23; Buy/Hold/Sell; Learning Data 
